"","Fit","R_bin"
"Bin0.0075TRUE",0.109805834499737,0.36902195299083
"Bin0.0125TRUE",1.19979254700371,0.154505916340061
"Bin0.02TRUE",1.17830878340891,0.182302849344927
"Bin0.03TRUE",1.29427524970194,0.153968118049363
"Bin0.04TRUE",0.957524473067502,0.131636700144995
"Bin0.05TRUE",0.840042249694709,0.120252114945451
"Bin0.06TRUE",0.521061117208379,0.11168641295268
"Bin0.07TRUE",0.101180440999953,0.0978428729304663
"Bin0.08TRUE",-0.167400178541488,0.094750259714964
"Bin0.09TRUE",-0.170890730818086,0.0883059821136296
"Bin0.1TRUE",-0.202277422268136,0.0773869107708994
"Bin0.11TRUE",-0.209319167990197,0.0631219271066147
"Bin0.12TRUE",-0.182666925944701,0.0431368582159154
"Bin0.13TRUE",-0.117122189980221,0.0328044560747385
"Bin0.14TRUE",-0.115834978942267,0.00920318285445247
